program-name,current-version,experimental-version,status
nss-cacert,3.117,3.117,SAME
python3.12-certifi,2025.07.14,2025.07.14,SAME
python3.12-requests,2.32.5,2.32.5,SAME
python3.12-typing-extensions,4.15.0,4.15.0,SAME
python3.12-packaging,25.0,25.0,SAME
python3.12-huggingface-hub,0.35.3,0.35.3,SAME
python3.12-regex,2025.9.18,2025.9.18,SAME
python3.12-tokenizers,0.22.1,0.22.1,SAME
python3.12-safetensors,0.7.0,0.7.0,SAME
python3.12-transformers,4.57.1,4.57.1,SAME
datestamp-0.3,tex,tex,SAME
libxmp,4.6.3,4.6.3,SAME
unit,getty.target,getty.target,SAME
ptex-2.4.2,lib,lib,SAME
gcc-14.2.1.20250322,libgcc,libgcc,SAME
cascadilla-1.8.2,tex,tex,SAME
tlshell-73297,tlpkg,tlpkg,SAME
perl,5.40.0,5.40.0,SAME
perl5.40.0-Number-Compare,0.03,0.03,SAME
perl5.40.0-Text-Glob,0.11,0.11,SAME
perl5.40.0-File-Find-Rule,0.34,0.34,SAME
perl5.40.0-Clone,0.46,0.46,SAME
perl5.40.0-Data-Compare,1.29,1.29,SAME
listbib-2.2,tex,tex,SAME
texlive-bin-2024,dvidvi,dvidvi,SAME
greek-inputenc-1.9,tex,tex,SAME
perl5.40.0-XML-SAX-Base,1.09,1.09,SAME
python3.12-attrs,25.3.0,25.3.0,SAME
glosmathtools-1.0.0,tex,tex,SAME
proflabo-1.0,tex,tex,SAME
qtshadertools,6.10.1,6.10.1,SAME
libsepol,3.8.1,3.8.1,SAME
libsepol-3.8.1,bin,bin,SAME
sqlite-connector-odbc,0.9993,0.9993,SAME
libxcb-1.17.0,dev,dev,SAME
libxcb-image-0.4.1,dev,dev,SAME
at-spi2-core-2.58.2,dev,dev,SAME
wayland-scanner,1.24.0,1.24.0,SAME
wayland-scanner-1.24.0,bin,bin,SAME
xorgproto,2024.1,2024.1,SAME
libxau-1.0.12,dev,dev,SAME
libxext-1.3.6,dev,dev,SAME
libxfixes-6.0.2,dev,dev,SAME
libx11-1.8.12,dev,dev,SAME
libxi-1.8.2,dev,dev,SAME
libthai-0.1.29,dev,dev,SAME
libpng-apng-1.6.54,dev,dev,SAME
libproxy-0.5.11,dev,dev,SAME
lksctp-tools,1.0.21,1.0.21,SAME
lndir,1.0.5,1.0.5,SAME
libxcb-cursor-0.1.6,dev,dev,SAME
libxcomposite-0.4.6,dev,dev,SAME
libxcb-keysyms-0.4.1,dev,dev,SAME
mariadb-connector-odbc,3.2.6,3.2.6,SAME
libxcb-wm-0.4.2,dev,dev,SAME
libglvnd-1.7.0,dev,dev,SAME
fix-qt-builtin,paths.sh,paths.sh,SAME
wayland-1.24.0,dev,dev,SAME
pcre2-10.46,bin,bin,SAME
brotli,1.1.0,1.1.0,SAME
freetype-2.13.3,dev,dev,SAME
libxrender-0.9.12,dev,dev,SAME
openssl-3.6.1,bin,bin,SAME
