program-name,current-version,experimental-version,status
bitelist-0.1,tex,tex,SAME
digiconfigs-0.5,tex,tex,SAME
glyphlist-54074,tex,tex,SAME
bxjatoucs-0.3a,tex,tex,SAME
blindtext-2.0,tex,tex,SAME
minipage-marginpar-0.2,tex,tex,SAME
endnotes-53319,tex,tex,SAME
etexcmds-1.7,tex,tex,SAME
libgreek-1.1,tex,tex,SAME
nevelok-1.03,tex,tex,SAME
mecaso-1.0,tex,tex,SAME
biblatex-source-division-2.4.2,tex,tex,SAME
karnaughmap-2.0,tex,tex,SAME
tikz-page-1.0,tex,tex,SAME
mlawriter-1.1.0,tex,tex,SAME
cybercic-2.1,tex,tex,SAME
widetable-2.1,tex,tex,SAME
miller-1.2,tex,tex,SAME
fancyslides-1.0,tex,tex,SAME
facture-1.3,tex,tex,SAME
babel-hungarian-1.5c,tex,tex,SAME
chifoot-1.0,tex,tex,SAME
makedtx-1.2,tex,tex,SAME
xfakebold-0.10,tex,tex,SAME
classicthesis-4.8,tex,tex,SAME
recipebook-37026,tex,tex,SAME
ocr-b-20852,tex,tex,SAME
omega-33046,tex,tex,SAME
pdfpc-movie-1.0,tex,tex,SAME
tikz-ext-0.5.1,tex,tex,SAME
lastbib-2.1,tex,tex,SAME
multiexpand-1.5,tex,tex,SAME
simplecv-1.6a,tex,tex,SAME
ps2eps-1.70,tex,tex,SAME
skb-0.52,tex,tex,SAME
jumplines-0.2,tex,tex,SAME
bohr-1.0,tex,tex,SAME
etl-0.3,tex,tex,SAME
luacolor-1.18,tex,tex,SAME
mylatexformat-3.4,tex,tex,SAME
venn-15878,tex,tex,SAME
cweb-old-49271,tex,tex,SAME
tikzdotncross-1.2c,tex,tex,SAME
unswcover-1.0,tex,tex,SAME
beamerposter-1.13,tex,tex,SAME
multidef-1.10,tex,tex,SAME
graphviz-0.94,tex,tex,SAME
arphic-15878,tex,tex,SAME
xskak-1.5,tex,tex,SAME
handoutwithnotes-1.3,tex,tex,SAME
apa6e-0.3,tex,tex,SAME
verifica-1.3,tex,tex,SAME
trivfloat-1.3b,tex,tex,SAME
fc-1.4,tex,tex,SAME
termmenu-37700,tex,tex,SAME
luatexko-3.8,tex,tex,SAME
thematicpuzzle-0.1.1,tex,tex,SAME
ocherokee-25689,tex,tex,SAME
treesvr-71382,tex,tex,SAME
tikz-bpmn-73368,tex,tex,SAME
elzcards-1.60,tex,tex,SAME
bracketkey-1.0,tex,tex,SAME
mdputu-1.2,tex,tex,SAME
gmdoc-enhance-0.2,tex,tex,SAME
charter-15878,tex,tex,SAME
prerex-54512,tex,tex,SAME
longnamefilelist-0.2,tex,tex,SAME
compactbib-15878,tex,tex,SAME
qualitype-54512,tex,tex,SAME
autofancyhdr-0.1,tex,tex,SAME
labbook-15878,tex,tex,SAME
mathdesign-2.31,tex,tex,SAME
pgf-umlcd-0.3,tex,tex,SAME
ltxmisc-21927,tex,tex,SAME
numerica-3.0.0,tex,tex,SAME
pxtxalfa-2,tex,tex,SAME
interpreter-1.2,tex,tex,SAME
thaienum-0.2,tex,tex,SAME
montserrat-1.03,tex,tex,SAME
guitar-1.6,tex,tex,SAME
pst-calendar-0.48,tex,tex,SAME
cweb-latex-28878,tex,tex,SAME
akshar-0.2,tex,tex,SAME
elpres-1.1,tex,tex,SAME
chinesechess-1.2.0,tex,tex,SAME
makeplot-1.0.6,tex,tex,SAME
lastpackage-0.1,tex,tex,SAME
ncclatex-1.5,tex,tex,SAME
bxeepic-0.2,tex,tex,SAME
notes2bib-2.0m,tex,tex,SAME
rviewport-1.0,tex,tex,SAME
tasks-1.4a,tex,tex,SAME
cbfonts-fd-1.2,tex,tex,SAME
clrstrip-60363,tex,tex,SAME
b1encoding-1.0,tex,tex,SAME
keyvaltable-2.3,tex,tex,SAME
cm-lgc-0.5,tex,tex,SAME
uni-wtal-lin-0.2,tex,tex,SAME
xpiano-1.0,tex,tex,SAME
celtic-1.1,tex,tex,SAME
multibbl-1.1,tex,tex,SAME
firstaid-1.1j,tex,tex,SAME
jourcl-65290,tex,tex,SAME
scrlttr2copy-0.3a,tex,tex,SAME
otibet-45777,tex,tex,SAME
bmstu-2.0.0,tex,tex,SAME
flexipage-1.02,tex,tex,SAME
biblatex-historian-0.4,tex,tex,SAME
random-0.2,tex,tex,SAME
paracol-1.36,tex,tex,SAME
maze-1.2,tex,tex,SAME
borceux-21047,tex,tex,SAME
beamerauxtheme-1.02a,tex,tex,SAME
texsis-2.18,tex,tex,SAME
alertmessage-1.1,tex,tex,SAME
bib2qr-0.2,tex,tex,SAME
gridset-0.4,tex,tex,SAME
tabularray-2024A,tex,tex,SAME
dtk-2.10f,tex,tex,SAME
nth-54252,tex,tex,SAME
tracklang-1.6.5,tex,tex,SAME
tikz-network-1.1,tex,tex,SAME
els-cas-templates-2.4,tex,tex,SAME
antiqua-001.003,tex,tex,SAME
tabstackengine-2.10,tex,tex,SAME
eqnnumwarn-1.0,tex,tex,SAME
tabfigures-1.1,tex,tex,SAME
arabxetex-1.2.1,tex,tex,SAME
babel-latin-4.0,tex,tex,SAME
grid-1.0,tex,tex,SAME
feynmp-auto-1.1,tex,tex,SAME
iso10303-1.5,tex,tex,SAME
bilingualpages-1.0.0,tex,tex,SAME
ekdosis-1.4,tex,tex,SAME
2up-1.3a,tex,tex,SAME
antomega-0.8,tex,tex,SAME
gmiflink-0.97,tex,tex,SAME
magicwatermark-1.2B,tex,tex,SAME
babel-finnish-1.3s,tex,tex,SAME
beamertheme-light-1.2,tex,tex,SAME
playcards-0.2.1,tex,tex,SAME
attachfile-1.9,tex,tex,SAME
bitter-67598,tex,tex,SAME
nopageno-18128,tex,tex,SAME
overarrows-1.3,tex,tex,SAME
enigma-0.1,tex,tex,SAME
tagpdf-0.99o,tex,tex,SAME
medmath-2025A,tex,tex,SAME
xfor-1.05,tex,tex,SAME
transparent-1.5,tex,tex,SAME
commonunicode-1.0.0,tex,tex,SAME
tetragonos-1,tex,tex,SAME
prisma-flow-diagram-1.0.0,tex,tex,SAME
commalists-tools-0.1.4,tex,tex,SAME
latexmp-1.2.1,tex,tex,SAME
textcase-1.05,tex,tex,SAME
fullminipage-0.1.1,tex,tex,SAME
liturg-1.0,tex,tex,SAME
css-colors-1.02,tex,tex,SAME
mahjong-1.1,tex,tex,SAME
scrlayer-fancyhdr-0.4,tex,tex,SAME
minitoc-62,tex,tex,SAME
mnsymbol-1.4,tex,tex,SAME
erdc-1.1,tex,tex,SAME
rjlparshap-1.0,tex,tex,SAME
junicodevf-2.209,tex,tex,SAME
zhmetrics-uptex-1.0,tex,tex,SAME
lt3graph-0.1.9,tex,tex,SAME
vectorlogos-0.1.3,tex,tex,SAME
jigsaw-0.5,tex,tex,SAME
sillypage-1.7,tex,tex,SAME
pstring-42857,tex,tex,SAME
tabvar-1.8,tex,tex,SAME
xnewcommand-1.2,tex,tex,SAME
datetime2-slovene-1.1,tex,tex,SAME
mathtools-1.31,tex,tex,SAME
easyfloats-1.1.0,tex,tex,SAME
longfbox-1.0,tex,tex,SAME
hvarabic-0.02,tex,tex,SAME
fixdif-2.1,tex,tex,SAME
moreenum-1.03,tex,tex,SAME
knittingpattern-17205,tex,tex,SAME
clistmap-1.2,tex,tex,SAME
luamodulartables-1.1,tex,tex,SAME
js-misc-16211,tex,tex,SAME
pgfmath-xfp-1.0a,tex,tex,SAME
checklistings-1.0,tex,tex,SAME
ec-1.0,tex,tex,SAME
platex-tools-72097,tex,tex,SAME
gastex-3.1,tex,tex,SAME
biblatex-juradiss-0.23,tex,tex,SAME
ccool-3.2,tex,tex,SAME
universa-2.1,tex,tex,SAME
odesandpdes-1.0.0,tex,tex,SAME
xellipsis-2.0,tex,tex,SAME
eqlist-2.1,tex,tex,SAME
svrsymbols-2.0b,tex,tex,SAME
biblatex-ieee-1.4c,tex,tex,SAME
framed-0.96,tex,tex,SAME
tableaux-42413,tex,tex,SAME
bbding-1.01,tex,tex,SAME
luacomplex-1.4,tex,tex,SAME
uniquecounter-1.4,tex,tex,SAME
edichokey-2.01y,tex,tex,SAME
sauterfonts-15878,tex,tex,SAME
longmath-1.0,tex,tex,SAME
pigpen-0.3,tex,tex,SAME
halloweenmath-0.11,tex,tex,SAME
glossaries-english-1.0,tex,tex,SAME
inlinebib-22018,tex,tex,SAME
xcookybooky-1.5,tex,tex,SAME
pstricks-3.21,tex,tex,SAME
gloss-1.5.2,tex,tex,SAME
mathcomp-0.1f,tex,tex,SAME
inputnormalization-0.2,tex,tex,SAME
wheelchart-4.0,tex,tex,SAME
plainyr-52783,tex,tex,SAME
pstool-1.5e,tex,tex,SAME
xpatch-0.3,tex,tex,SAME
autoaligne-1.5,tex,tex,SAME
texvc-1.2,tex,tex,SAME
conv-xkv-43558,tex,tex,SAME
latexconfig-68923,tex,tex,SAME
prettytok-0.2.0,tex,tex,SAME
babel-bosnian-1.1,tex,tex,SAME
flipbook-0.2,tex,tex,SAME
tabu-2.9,tex,tex,SAME
sectionbreak-0.1d,tex,tex,SAME
optidef-3.1,tex,tex,SAME
spectral-64528,tex,tex,SAME
couleurs-fr-0.1.2,tex,tex,SAME
cjs-rcs-article-1.1a,tex,tex,SAME
xpinyin-3.1,tex,tex,SAME
hyperbar-0.1,tex,tex,SAME
twoxtwogame-0.2,tex,tex,SAME
nicematrix-7.1a,tex,tex,SAME
alchemist-1.00,tex,tex,SAME
coloredbelts-0.1.1,tex,tex,SAME
courier-61719,tex,tex,SAME
pictex2-15878,tex,tex,SAME
relsize-4.1,tex,tex,SAME
trsym-1.0,tex,tex,SAME
numprint-1.39,tex,tex,SAME
langnames-3.0.0,tex,tex,SAME
dichokey-17192,tex,tex,SAME
pst-fractal-0.12,tex,tex,SAME
hwemoji-1.0,tex,tex,SAME
webquiz-5.2,tex,tex,SAME
luacensor-1.1.1,tex,tex,SAME
newpx-1.541,tex,tex,SAME
sepfootnotes-0.3d,tex,tex,SAME
invoice-48359,tex,tex,SAME
doclicense-3.3.0,tex,tex,SAME
gothic-49869,tex,tex,SAME
venndiagram-1.2,tex,tex,SAME
dialogl-28946,tex,tex,SAME
glossaries-magyar-1.0,tex,tex,SAME
abraces-2.2,tex,tex,SAME
tabriz-thesis-1.1,tex,tex,SAME
classics-0.1a,tex,tex,SAME
pdfreview-1.2,tex,tex,SAME
typeface-0.1,tex,tex,SAME
din1505-19441,tex,tex,SAME
hexboard-1.0,tex,tex,SAME
rlepsf-19082,tex,tex,SAME
ekaia-1.06,tex,tex,SAME
lua-check-hyphen-0.7a,tex,tex,SAME
quantumarticle-6.1,tex,tex,SAME
yquant-0.7.5,tex,tex,SAME
capt-of-29803,tex,tex,SAME
romanneg-20087,tex,tex,SAME
midpage-1.1a,tex,tex,SAME
ebsthesis-1.0,tex,tex,SAME
kvmap-0.3.5,tex,tex,SAME
spelling-0.41,tex,tex,SAME
hfutexam-1.9,tex,tex,SAME
tabularray-abnt-73487,tex,tex,SAME
minibox-0.2a,tex,tex,SAME
expex-acro-0.0.3,tex,tex,SAME
anonchap-1.1a,tex,tex,SAME
skmath-0.5a,tex,tex,SAME
mptopdf-69363,tex,tex,SAME
latexdiff-1.3.4,tex,tex,SAME
path-3.05,tex,tex,SAME
imac-17347,tex,tex,SAME
apa7-2.16,tex,tex,SAME
rotfloat-1.2,tex,tex,SAME
mathpazo-1.003,tex,tex,SAME
ebgaramond-maths-1.3,tex,tex,SAME
datenumber-0.03,tex,tex,SAME
subtext-1.1,tex,tex,SAME
serbian-def-cyr-23734,tex,tex,SAME
jadetex-3.13,tex,tex,SAME
gfsdidotclassic-001.001,tex,tex,SAME
fillpages-1.1.0,tex,tex,SAME
srbtiks-1.0,tex,tex,SAME
mylatex-56751,tex,tex,SAME
soton-0.1,tex,tex,SAME
geometry-5.9,tex,tex,SAME
synthslant-0.1a,tex,tex,SAME
jlreq-deluxe-0.5.0,tex,tex,SAME
adigraph-1.7.2,tex,tex,SAME
asmejour-1.24,tex,tex,SAME
subeqnarray-2.1e,tex,tex,SAME
umbclegislation-2016-6-8,tex,tex,SAME
scaletextbullet-2.0.0,tex,tex,SAME
tikzfill-1.0.1,tex,tex,SAME
latexbug-1.0p,tex,tex,SAME
ellipsis-1.8,tex,tex,SAME
lua-physical-1.0.5,tex,tex,SAME
iwonamath-1.1,tex,tex,SAME
nolbreaks-1.2,tex,tex,SAME
lualatex-math-1.12,tex,tex,SAME
luatex-71409,tex,tex,SAME
everyhook-1.2,tex,tex,SAME
histogr-1.01,tex,tex,SAME
pst-tvz-1.01,tex,tex,SAME
zapfchan-61719,tex,tex,SAME
pst-jtree-2.6,tex,tex,SAME
iaria-0.6,tex,tex,SAME
xtab-2.3f,tex,tex,SAME
froufrou-1.4.0,tex,tex,SAME
genealogy-25112,tex,tex,SAME
scripture-2.1,tex,tex,SAME
latex2pydata-0.5.0,tex,tex,SAME
manyind-49874,tex,tex,SAME
chordbox-1.0,tex,tex,SAME
tikzpeople-0.4,tex,tex,SAME
feyn-0.4.3,tex,tex,SAME
sfg-0.91,tex,tex,SAME
ibarra-71059,tex,tex,SAME
truthtable-0.1.0,tex,tex,SAME
inriafonts-1.0,tex,tex,SAME
repeatindex-0.01,tex,tex,SAME
garamond-libre-1.4,tex,tex,SAME
psutils-p17,tex,tex,SAME
roboto-64350,tex,tex,SAME
pinlabel-1.2,tex,tex,SAME
fjodor-53207,tex,tex,SAME
datetime2-breton-1.2,tex,tex,SAME
frege-1.3,tex,tex,SAME
pdfscreen-1.5,tex,tex,SAME
isodoc-1.14,tex,tex,SAME
textgreek-0.7,tex,tex,SAME
commedit-1.02,tex,tex,SAME
letterswitharrows-72723,tex,tex,SAME
latex-tools-dev-2025-06-01_pre-release_2,tex,tex,SAME
ctanbib-0.2d,tex,tex,SAME
crimsonpro-64565,tex,tex,SAME
pst-blur-2.0,tex,tex,SAME
tkz-grapheur-0.2.0,tex,tex,SAME
makeindex-62517,tex,tex,SAME
uhhassignment-1.0,tex,tex,SAME
vntex-3.2.2,tex,tex,SAME
hep-font-1.3,tex,tex,SAME
unam-thesis-0.5,tex,tex,SAME
tlcockpit-1.2,tex,tex,SAME
thmbox-15878,tex,tex,SAME
babel-vietnamese-1.4,tex,tex,SAME
boxhandler-1.30,tex,tex,SAME
mathcommand-1.04,tex,tex,SAME
musikui-1,tex,tex,SAME
comfortaa-3.2,tex,tex,SAME
ku-template-0.02,tex,tex,SAME
colorwav-1.0,tex,tex,SAME
block-17209,tex,tex,SAME
mathpunctspace-1.1,tex,tex,SAME
dice-28501,tex,tex,SAME
texnegar-0.1e,tex,tex,SAME
librebaskerville-64421,tex,tex,SAME
pgf-periodictable-2.1.5,tex,tex,SAME
simurgh-0.01b,tex,tex,SAME
coverpage-1.01,tex,tex,SAME
pdfjam-4.1,tex,tex,SAME
rtklage-15878,tex,tex,SAME
udepcolor-1.0,tex,tex,SAME
plantuml-0.4.0,tex,tex,SAME
ucsmonograph-1.3.0,tex,tex,SAME
tablvar-2.1,tex,tex,SAME
thesis-gwu-1.7.0,tex,tex,SAME
fiziko-0.2.0,tex,tex,SAME
showexpl-0.3s,tex,tex,SAME
abntex2-1.9.7,tex,tex,SAME
eulervm-4.0,tex,tex,SAME
featpost-0.8.8,tex,tex,SAME
exsol-1.7,tex,tex,SAME
scsnowman-1.3c,tex,tex,SAME
latex-uni8-0.03,tex,tex,SAME
gnu-freefont-68624,tex,tex,SAME
sunpath-0.5,tex,tex,SAME
simpleinvoice-45673,tex,tex,SAME
ecltree-1.1a,tex,tex,SAME
draftfigure-0.2,tex,tex,SAME
wordlike-1.2b,tex,tex,SAME
asymptote-3.01,tex,tex,SAME
everyshi-4.00,tex,tex,SAME
aurical-1.5,tex,tex,SAME
gmp-1.0,tex,tex,SAME
fncychap-1.34,tex,tex,SAME
captcont-2.0,tex,tex,SAME
beamertheme-rainbow-1.0,tex,tex,SAME
babel-basque-1.0f,tex,tex,SAME
fig4latex-0.2,tex,tex,SAME
tagpair-1.1,tex,tex,SAME
gs1-23,tex,tex,SAME
doublestroke-1.111,tex,tex,SAME
tikz-dependency-1.2,tex,tex,SAME
beton-15878,tex,tex,SAME
guitlogo-1.0.0-alpha.4,tex,tex,SAME
berenisadf-2.1,tex,tex,SAME
datetime2-basque-1.2a,tex,tex,SAME
tocvsec2-1.3a,tex,tex,SAME
unifith-1.6,tex,tex,SAME
scalebar-1.0,tex,tex,SAME
wrapfig-3.6,tex,tex,SAME
structmech-1.2,tex,tex,SAME
statmath-0.1,tex,tex,SAME
soul-3.1,tex,tex,SAME
erw-l3-4.2,tex,tex,SAME
uwa-pcf-1.0.1,tex,tex,SAME
junicode-2.209,tex,tex,SAME
sexam-1,tex,tex,SAME
sfmath-0.8,tex,tex,SAME
smartunits-1.2,tex,tex,SAME
sectsty-2.0.2,tex,tex,SAME
addfont-1.1,tex,tex,SAME
aspectratio-2.0,tex,tex,SAME
mfb-oldstyle-1.0,tex,tex,SAME
pgf-blur-1.02,tex,tex,SAME
cuisine-0.7,tex,tex,SAME
imsproc-0.1,tex,tex,SAME
plnfss-1.1,tex,tex,SAME
calligra-type1-001.000,tex,tex,SAME
datetime2-greek-1.1,tex,tex,SAME
advdate-20538,tex,tex,SAME
pascaltriangle-1.0.1,tex,tex,SAME
diffcoeff-5.4,tex,tex,SAME
makebase-0.2,tex,tex,SAME
chemformula-ru-71883,tex,tex,SAME
octavo-1.2,tex,tex,SAME
temporal-logic-1.0,tex,tex,SAME
pythontex-0.18,tex,tex,SAME
liftarm-3.0,tex,tex,SAME
python-0.22,tex,tex,SAME
glossaries-french-1.1,tex,tex,SAME
powerdot-1.7,tex,tex,SAME
dynkin-diagrams-3.141592653589793238462,tex,tex,SAME
tile-graphic-55325,tex,tex,SAME
libris-1.1,tex,tex,SAME
chronos-0.9,tex,tex,SAME
pst-slpe-1.31,tex,tex,SAME
josefin-64569,tex,tex,SAME
ctex-2.5.10,tex,tex,SAME
tqft-2.3,tex,tex,SAME
powerdot-fuberlin-0.02a,tex,tex,SAME
copyrightbox-0.1,tex,tex,SAME
autopdf-1.1,tex,tex,SAME
sdaps-1.9.10,tex,tex,SAME
endnotes-hy-54758,tex,tex,SAME
oldlatin-1.00,tex,tex,SAME
uspatent-1.0,tex,tex,SAME
raleway-1.4,tex,tex,SAME
h2020proposal-1.0,tex,tex,SAME
usebib-1.0a,tex,tex,SAME
complexpolylongdiv-0.2,tex,tex,SAME
numname-18130,tex,tex,SAME
mf2pt1-2.8,tex,tex,SAME
univie-ling-2.9,tex,tex,SAME
subdepth-0.1,tex,tex,SAME
zennote-1.0.0,tex,tex,SAME
keytheorems-0.2.5,tex,tex,SAME
biblatex-enc-1.1,tex,tex,SAME
beamerthemejltree-1.1,tex,tex,SAME
ryethesis-1.36,tex,tex,SAME
bookcover-3.7,tex,tex,SAME
niceframe-type1-71849,tex,tex,SAME
robustindex-49877,tex,tex,SAME
catoptions-0.2.7i,tex,tex,SAME
proflycee-3.11a,tex,tex,SAME
ltxtools-0.0.1a,tex,tex,SAME
hypdvips-3.03,tex,tex,SAME
tikzviolinplots-0.8.0,tex,tex,SAME
dotarrow-0.01a,tex,tex,SAME
zref-check-0.3.7,tex,tex,SAME
gender-1.0,tex,tex,SAME
babel-lithuanian-1.0,tex,tex,SAME
aobs-tikz-1.01,tex,tex,SAME
mcite-1.6,tex,tex,SAME
koma-moderncvclassic-0.5,tex,tex,SAME
tikz-karnaugh-1.5,tex,tex,SAME
chuushaku-1.0.1,tex,tex,SAME
gchords-1.20,tex,tex,SAME
collcell-0.6,tex,tex,SAME
fncylab-1.1,tex,tex,SAME
ejpecp-1.11.3,tex,tex,SAME
gentium-sil-6.200,tex,tex,SAME
fixme-4.5,tex,tex,SAME
curve-1.16,tex,tex,SAME
byo-twemojis-1.0,tex,tex,SAME
tikzpfeile-1.0,tex,tex,SAME
mathgreeks-1.2,tex,tex,SAME
luatbls-74021,tex,tex,SAME
font-change-xetex-2016.1,tex,tex,SAME
xyling-1.1,tex,tex,SAME
atbegshi-1.19,tex,tex,SAME
pgf-spectra-3.0.1a,tex,tex,SAME
pst-infixplot-0.11,tex,tex,SAME
exercisesheets-0.17,tex,tex,SAME
polexpr-0.8.7a,tex,tex,SAME
sageep-1.0,tex,tex,SAME
basque-book-1.20,tex,tex,SAME
cell-42428,tex,tex,SAME
barracuda-0.0.12,tex,tex,SAME
toptesi-6.4.07,tex,tex,SAME
uhc-16791,tex,tex,SAME
libertinust1math-2.0.6,tex,tex,SAME
simpler-wick-1.0.0,tex,tex,SAME
amsaddr-1.2,tex,tex,SAME
12many-0.3,tex,tex,SAME
correctmathalign-1.1,tex,tex,SAME
xdvi-62387,tex,tex,SAME
easylist-1.3,tex,tex,SAME
scikgtex-2.2.0,tex,tex,SAME
graphics-pln-71575,tex,tex,SAME
euxm-54074,tex,tex,SAME
quran-bn-0.2,tex,tex,SAME
statistik-0.03,tex,tex,SAME
pwebmac-5.0,tex,tex,SAME
modulus-1.0,tex,tex,SAME
fei-4.10.4,tex,tex,SAME
libertine-5.3.0,tex,tex,SAME
mathsemantics-1.0.0,tex,tex,SAME
pxpgfmark-0.2,tex,tex,SAME
begingreek-1.7,tex,tex,SAME
apnum-1.7,tex,tex,SAME
sphack-20842,tex,tex,SAME
circuit-macros-10.7,tex,tex,SAME
metalogo-0.12,tex,tex,SAME
tikz-mirror-lens-1.0.2,tex,tex,SAME
nextpage-1.1a,tex,tex,SAME
ideavault-1.0.4,tex,tex,SAME
mpostinl-1.5,tex,tex,SAME
nicetext-r0.67,tex,tex,SAME
dotseqn-1.1,tex,tex,SAME
heuristica-1.093,tex,tex,SAME
pst-antiprism-0.02,tex,tex,SAME
mnras-3.2,tex,tex,SAME
screenplay-1.6,tex,tex,SAME
dingbat-1.0,tex,tex,SAME
stix2-otf-2.12,tex,tex,SAME
bondgraphs-1.0.1,tex,tex,SAME
physics-1.3,tex,tex,SAME
latexdemo-0.2,tex,tex,SAME
bangorexam-1.5.0,tex,tex,SAME
pst-shell-0.03,tex,tex,SAME
lineno-5.4,tex,tex,SAME
bxcjkjatype-0.5,tex,tex,SAME
lisp-on-tex-2.1,tex,tex,SAME
trimspaces-1.1,tex,tex,SAME
lscapeenhanced-1.0,tex,tex,SAME
realhats-7.1,tex,tex,SAME
gsftopk-1.19.2,tex,tex,SAME
pst-am-1.02,tex,tex,SAME
biblatex-luh-ipw-0.3,tex,tex,SAME
drac-1,tex,tex,SAME
fixlatvian-1a,tex,tex,SAME
kotex-plain-3.0.0,tex,tex,SAME
ezedits-1.1,tex,tex,SAME
concmath-17219,tex,tex,SAME
crumbs-0.4.1,tex,tex,SAME
hypcap-1.13,tex,tex,SAME
amscls-2.20.6,tex,tex,SAME
sansmathaccent-53628,tex,tex,SAME
nature-1.0,tex,tex,SAME
rosario-2.1,tex,tex,SAME
a0poster-1.22b,tex,tex,SAME
handin-0.1.1,tex,tex,SAME
eq-pin2corr-59477,tex,tex,SAME
formular-1.0a,tex,tex,SAME
texfindpkg-2024A,tex,tex,SAME
newtxsf-1.056,tex,tex,SAME
fail-fast-0.0.2,tex,tex,SAME
chickenize-0.3,tex,tex,SAME
shade-1,tex,tex,SAME
pdfcol-1.7,tex,tex,SAME
checkend-1.0,tex,tex,SAME
computational-complexity-2.25f,tex,tex,SAME
metauml-0.2.6,tex,tex,SAME
ted-1.06,tex,tex,SAME
babel-galician-4.3c,tex,tex,SAME
csvmerge-1.0,tex,tex,SAME
didec-1.0.0,tex,tex,SAME
modeles-factures-belges-assocs-1.0.1,tex,tex,SAME
yhmath-1.6,tex,tex,SAME
tidyres-2.0.0,tex,tex,SAME
polynom-0.19,tex,tex,SAME
rescansync-0.0.0,tex,tex,SAME
ptolemaicastronomy-1.0,tex,tex,SAME
sourcesanspro-2.8,tex,tex,SAME
git-latexdiff-1.6.0,tex,tex,SAME
pegmatch-2025B,tex,tex,SAME
keyindex-1.0,tex,tex,SAME
copyedit-1.6,tex,tex,SAME
csbulletin-65250,tex,tex,SAME
pbibtex-base-66085,tex,tex,SAME
dpcircling-1.0,tex,tex,SAME
repere-23.05.b,tex,tex,SAME
tikz-relay-1.3,tex,tex,SAME
attachfile2-2.12,tex,tex,SAME
testidx-1.2,tex,tex,SAME
gradientframe-0.2,tex,tex,SAME
varsfromjobname-1.0,tex,tex,SAME
lithuanian-66461,tex,tex,SAME
fmp-15878,tex,tex,SAME
pst-gantt-0.22a,tex,tex,SAME
leftidx-15878,tex,tex,SAME
multilang-0.9b,tex,tex,SAME
xesearch-0.2,tex,tex,SAME
clara-54512,tex,tex,SAME
tram-0.2,tex,tex,SAME
smflatex-1.6,tex,tex,SAME
ordinalpt-2.1,tex,tex,SAME
bibexport-3.03,tex,tex,SAME
datetime2-1.5.7,tex,tex,SAME
datetime2-hebrew-1.1,tex,tex,SAME
labyrinth-1.0,tex,tex,SAME
gmdoc-0.993,tex,tex,SAME
mandi-3.2.2,tex,tex,SAME
istgame-2.1,tex,tex,SAME
elvish-15878,tex,tex,SAME
datetime2-welsh-1.1,tex,tex,SAME
pst-thick-1.0,tex,tex,SAME
luakeys-0.15.0,tex,tex,SAME
functan-15878,tex,tex,SAME
convert-jpfonts-1.0.1,tex,tex,SAME
sankey-3.0.2,tex,tex,SAME
ppmcheckpdf-2025A,tex,tex,SAME
url-3.4,tex,tex,SAME
moodle-1.0,tex,tex,SAME
citeref-1.1,tex,tex,SAME
ruscap-1.0,tex,tex,SAME
hep-title-1.3,tex,tex,SAME
getoptk-1.0,tex,tex,SAME
economic-32639,tex,tex,SAME
pst-venn-0.01,tex,tex,SAME
fancypar-1.3,tex,tex,SAME
nimbus15-1.015,tex,tex,SAME
afthesis-2.7,tex,tex,SAME
diagnose-0.2,tex,tex,SAME
bnumexpr-1.5,tex,tex,SAME
datetime2-catalan-1.1,tex,tex,SAME
unravel-0.3c,tex,tex,SAME
biblatex-archaeology-2.2,tex,tex,SAME
basicarith-1.1,tex,tex,SAME
splitbib-1.17,tex,tex,SAME
exercisepoints-1.2.3,tex,tex,SAME
binarytree-1.01,tex,tex,SAME
ducksay-2.7,tex,tex,SAME
biblatex-cse-1.1.0,tex,tex,SAME
na-position-1.2,tex,tex,SAME
shortmathj-0.5.0,tex,tex,SAME
colorspace-1.3,tex,tex,SAME
cyrillic-modern-0.4,tex,tex,SAME
pst-fr3d-1.10,tex,tex,SAME
pdftex-quiet-1.1.0,tex,tex,SAME
pdfcomment-2.4a,tex,tex,SAME
spotcolor-1.2,tex,tex,SAME
beamertheme-simpleplus-1.1,tex,tex,SAME
pyluatex-0.6.3,tex,tex,SAME
jmlr-1.30,tex,tex,SAME
mlist-0.6a,tex,tex,SAME
threeparttable-17383,tex,tex,SAME
gitinfo-lua-1.2.0,tex,tex,SAME
tkz-euclide-5.10c,tex,tex,SAME
naive-ebnf-0.0.18,tex,tex,SAME
pynotebook-0.1.3,tex,tex,SAME
ginpenc-1.0,tex,tex,SAME
testhyphens-1.0,tex,tex,SAME
biblatex-gb7714-2015-1.1t,tex,tex,SAME
shdoc-2.1b,tex,tex,SAME
sort-by-letters-27128,tex,tex,SAME
barcodes-15878,tex,tex,SAME
texdate-2.0,tex,tex,SAME
ieejtran-0.19,tex,tex,SAME
eskd-15878,tex,tex,SAME
bxwareki-0.7,tex,tex,SAME
readarray-3.1,tex,tex,SAME
luaset-1.1,tex,tex,SAME
quran-de-0.2,tex,tex,SAME
nlctdoc-1.13,tex,tex,SAME
babel-samin-1.0d,tex,tex,SAME
arsenal-0.2,tex,tex,SAME
leadsheets-0.7,tex,tex,SAME
biblatex-manuscripts-philology-2.1.4,tex,tex,SAME
placeins-plain-2.0,tex,tex,SAME
unibidi-lua-0.1,tex,tex,SAME
namedef-1.0,tex,tex,SAME
elbioimp-1.2,tex,tex,SAME
